Feb/09 17:12:53 |   xact.log.config     | INFO     | log initilized
Feb/09 17:12:53 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 17:12:53 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 17:21:15 |   xact.log.config     | INFO     | log initilized
Feb/09 17:21:15 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 17:21:16 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 17:25:26 |   xact.log.config     | INFO     | log initilized
Feb/09 17:25:26 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 17:25:26 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 17:33:38 |   xact.log.config     | INFO     | log initilized
Feb/09 17:33:38 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 17:33:39 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 17:35:56 |   xact.log.config     | INFO     | log initilized
Feb/09 17:35:56 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 17:35:56 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 18:24:45 |   xact.log.config     | INFO     | log initilized
Feb/09 18:24:45 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 18:24:49 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 19:25:17 |   xact.log.config     | INFO     | log initilized
Feb/09 19:25:17 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 19:25:18 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 19:25:54 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:30:30 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:30:30 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:38:51 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:38:51 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:41:26 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:41:26 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:43:12 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:43:12 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:43:29 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:43:29 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:44:00 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:44:00 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/09 19:53:44 |       __main__        | INFO     | execution of global Action
Feb/09 19:53:53 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:53:53 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:54:11 |       __main__        | INFO     | execution of global Action
Feb/09 19:54:26 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:54:26 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/09 19:55:17 |       __main__        | INFO     | execution of shutdown Action
Feb/09 19:55:26 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:55:26 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 19:55:27 |       __main__        | INFO     | execution of global Action
Feb/09 19:55:42 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 19:55:42 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/09 23:46:48 |   xact.log.config     | INFO     | log initilized
Feb/09 23:46:48 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 23:46:50 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 23:49:41 |       __main__        | INFO     | execution of shutdown Action
Feb/09 23:49:43 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/09 23:52:28 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 23:52:28 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/09 23:54:37 |   xact.log.config     | INFO     | log initilized
Feb/09 23:54:37 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/09 23:54:38 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/09 23:55:48 |     xact.llm.llm      | INFO     | llm out generated
Feb/09 23:55:48 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/10 00:10:23 |     xact.llm.llm      | INFO     | llm out generated
Feb/10 00:10:23 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/10 00:12:25 |   xact.log.config     | INFO     | log initilized
Feb/10 00:12:25 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/10 00:12:25 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/10 00:12:31 |    xact.llm.embed     | WARNING  | Connection error.
Feb/10 00:16:25 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:16:37 |       __main__        | INFO     | execution of shutdown Action
Feb/10 00:17:16 |   xact.log.config     | INFO     | log initilized
Feb/10 00:17:16 |   xact.log.config     | XACT_STREAM | log streaming initilized
Feb/10 00:17:17 |   xact.config.gen     | INFO     | Config loaded from .env:.env json_path : config.json
Feb/10 00:17:25 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:17:25 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:17:32 |       __main__        | INFO     | execution of shutdown Action
Feb/10 00:17:33 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:17:33 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/10 00:17:39 |       __main__        | INFO     | execution of shutdown Action
Feb/10 00:17:39 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:17:39 |    xact.llm.tool      | INFO     | executiong tool : shutdown
Feb/10 00:17:45 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:18:17 |     xact.llm.llm      | INFO     | llm out generated
Feb/10 00:18:17 |    xact.llm.tool      | INFO     | executiong tool : open_apps
Feb/10 00:18:24 |    xact.llm.embed     | INFO     | llm embed generated
Feb/10 00:18:28 |     xact.llm.llm      | INFO     | llm out generated
Feb/10 00:18:28 |    xact.llm.tool      | INFO     | executiong tool : shutdown
